measure,pack,id,samp_date,spectrum,meas date,YB,YH,YC,ok,habitat,sex,age,nest
1,1,BC153,7.6.13,COL_AM_POLLOS_0152,16.05.21,12.39059975,498,0.484054199,1,Forest,1,Pull,V148
1,1,BC153,7.6.13,COL_AM_POLLOS_0153,16.05.21,10.68490895,498,0.590255389,1,Forest,1,Pull,V148
1,2,BC153,7.6.13,COL_AM_POLLOS_0154,16.05.21,12.42019779,493,0.456874427,1,Forest,1,Pull,V148
1,2,BC153,7.6.13,COL_AM_POLLOS_0155,16.05.21,12.46801653,498,0.544909908,1,Forest,1,Pull,V148
1,2,BC153,7.6.13,COL_AM_POLLOS_0156,16.05.21,11.58469628,498,0.557497385,1,Forest,1,Pull,V148
1,1,BC244,11.6.13,COL_AM_POLLOS_0157,16.05.21,8.553017277,498,0.510953455,1,Forest,1,Pull,V374
1,1,BC244,11.6.13,COL_AM_POLLOS_0158,16.05.21,10.12921126,493,0.354253909,1,Forest,1,Pull,V374
1,1,BC244,11.6.13,COL_AM_POLLOS_0159,16.05.21,7.00046682,493,0.473930878,1,Forest,1,Pull,V374
1,2,BC244,11.6.13,COL_AM_POLLOS_0160,16.05.21,9.741609342,498,0.418065472,1,Forest,1,Pull,V374
1,2,BC244,11.6.13,COL_AM_POLLOS_0161,16.05.21,7.792714431,493,0.431969188,1,Forest,1,Pull,V374
1,2,BC244,11.6.13,COL_AM_POLLOS_0162,16.05.21,10.01336798,493,0.382233835,1,Forest,1,Pull,V374
1,1,BC245,11.6.13,COL_AM_POLLOS_0163,22.05.21,10.66267464,498,0.313799964,1,Forest,2,Pull,V374
1,1,BC245,11.6.13,COL_AM_POLLOS_0164,22.05.21,10.09588665,499,0.407960475,1,Forest,2,Pull,V374
1,1,BC245,11.6.13,COL_AM_POLLOS_0165,22.05.21,11.70626052,499,0.354049738,1,Forest,2,Pull,V374
1,2,BC245,11.6.13,COL_AM_POLLOS_0166,22.05.21,10.9752933,498,0.344618797,1,Forest,2,Pull,V374
1,2,BC245,11.6.13,COL_AM_POLLOS_0167,22.05.21,8.980861446,493,0.378157164,1,Forest,2,Pull,V374
1,2,BC245,11.6.13,COL_AM_POLLOS_0168,22.05.21,10.28566061,647,0.28345641,1,Forest,2,Pull,V374
1,1,BC247,11.6.13,COL_AM_POLLOS_0169,22.05.21,10.66352434,642,0.335867211,1,Forest,1,Pull,V374
1,1,BC247,11.6.13,COL_AM_POLLOS_0170,22.05.21,9.840687599,498,0.319831863,1,Forest,1,Pull,V374
1,1,BC247,11.6.13,COL_AM_POLLOS_0171,22.05.21,11.90146669,498,0.386911834,1,Forest,1,Pull,V374
1,2,BC247,11.6.13,COL_AM_POLLOS_0172,22.05.21,10.85411379,498,0.295460304,1,Forest,1,Pull,V374
1,2,BC247,11.6.13,COL_AM_POLLOS_0173,22.05.21,11.52408897,498,0.26960095,1,Forest,1,Pull,V374
1,2,BC247,11.6.13,COL_AM_POLLOS_0174,22.05.21,11.47357704,498,0.330944568,1,Forest,1,Pull,V374
1,1,BC249,11.6.13,COL_AM_POLLOS_0175,22.05.21,8.109112171,642,0.37483236,1,Forest,2,Pull,V374
1,1,BC249,11.6.13,COL_AM_POLLOS_0176,22.05.21,9.674076891,642,0.360811549,1,Forest,2,Pull,V374
1,1,BC249,11.6.13,COL_AM_POLLOS_0177,22.05.21,8.057157873,493,0.375146934,1,Forest,2,Pull,V374
1,2,BC249,11.6.13,COL_AM_POLLOS_0178,22.05.21,7.720678505,499,0.369005039,1,Forest,2,Pull,V374
1,2,BC249,11.6.13,COL_AM_POLLOS_0179,22.05.21,9.467806216,647,0.223447571,1,Forest,2,Pull,V374
1,2,BC249,11.6.13,COL_AM_POLLOS_0180,22.05.21,8.1749593,647,0.327002778,1,Forest,2,Pull,V374
1,1,BC263,11.6.13,COL_AM_POLLOS_0181,22.05.21,8.013655202,642,0.318840862,1,Forest,2,Pull,V135
1,1,BC263,11.6.13,COL_AM_POLLOS_0182,22.05.21,9.978298661,493,0.391388272,1,Forest,2,Pull,V135
1,1,BC263,11.6.13,COL_AM_POLLOS_0183,22.05.21,8.096747755,642,0.316869551,1,Forest,2,Pull,V135
