measure,pack,id,Ring,samp_date,spectrum,YB,YC,meanyb,meanyc,habitat,sex,age,nest,ok
2,1,PB303,2KS91261,01.06.14,GT_AMAR_0181,12.64962396,0.423606467,12.09316977,0.456099022,Urban,1,2K,S124,1
2,1,PB303,2KS91261,01.06.14,GT_AMAR_0182,11.78680998,0.456366233,12.09316977,0.456099022,Urban,1,2K,S124,1
2,1,PB303,2KS91261,01.06.14,GT_AMAR_0183,11.62689388,0.462698481,12.09316977,0.456099022,Urban,1,2K,S124,1
2,2,PB303,2KS91261,01.06.14,GT_AMAR_0184,11.38213226,0.465364706,12.09316977,0.456099022,Urban,1,2K,S124,1
2,2,PB303,2KS91261,01.06.14,GT_AMAR_0185,11.70028366,0.514713425,12.09316977,0.456099022,Urban,1,2K,S124,1
2,2,PB303,2KS91261,01.06.14,GT_AMAR_0186,13.41327486,0.413844818,12.09316977,0.456099022,Urban,1,2K,S124,1
1,1,PB203,2KR97487,28.05.14,GT_AMAR_0187,9.671454586,0.722434186,10.57684871,0.711825147,Forest,1,2K,V306,1
1,1,PB203,2KR97487,28.05.14,GT_AMAR_0188,9.736921937,0.755726252,10.57684871,0.711825147,Forest,1,2K,V306,1
1,1,PB203,2KR97487,28.05.14,GT_AMAR_0189,9.929673099,0.684817061,10.57684871,0.711825147,Forest,1,2K,V306,1
1,2,PB203,2KR97487,28.05.14,GT_AMAR_0190,10.55208437,0.655977396,10.57684871,0.711825147,Forest,1,2K,V306,1
1,2,PB203,2KR97487,28.05.14,GT_AMAR_0191,11.95669762,0.701461753,10.57684871,0.711825147,Forest,1,2K,V306,1
1,2,PB203,2KR97487,28.05.14,GT_AMAR_0192,11.61426064,0.750534234,10.57684871,0.711825147,Forest,1,2K,V306,1
2,1,PB210,2KP22172,29.05.14,GT_AMAR_0193,8.352354904,0.575087212,9.083607556,0.639560946,Forest,1,2K,V395,1
2,1,PB210,2KP22172,29.05.14,GT_AMAR_0194,9.179844365,0.560707529,9.083607556,0.639560946,Forest,1,2K,V395,1
2,1,PB210,2KP22172,29.05.14,GT_AMAR_0195,8.997557761,0.764693438,9.083607556,0.639560946,Forest,1,2K,V395,1
2,2,PB210,2KP22172,29.05.14,GT_AMAR_0196,10.39442963,0.669325158,9.083607556,0.639560946,Forest,1,2K,V395,1
2,2,PB210,2KP22172,29.05.14,GT_AMAR_0197,8.553841749,0.587473071,9.083607556,0.639560946,Forest,1,2K,V395,1
2,2,PB210,2KP22172,29.05.14,GT_AMAR_0198,9.023616925,0.680079266,9.083607556,0.639560946,Forest,1,2K,V395,1
2,1,PB207,2KP22170,29.05.14,GT_AMAR_0199,11.97582899,0.658794728,10.90985189,0.682703197,Forest,2,2K,V335,1
2,1,PB207,2KP22170,29.05.14,GT_AMAR_0200,9.67991152,0.70014513,10.90985189,0.682703197,Forest,2,2K,V335,1
2,1,PB207,2KP22170,29.05.14,GT_AMAR_0201,10.93661904,0.70358286,10.90985189,0.682703197,Forest,2,2K,V335,1
2,2,PB207,2KP22170,29.05.14,GT_AMAR_0202,11.63660133,0.651206204,10.90985189,0.682703197,Forest,2,2K,V335,1
2,2,PB207,2KP22170,29.05.14,GT_AMAR_0203,11.22060318,0.658546075,10.90985189,0.682703197,Forest,2,2K,V335,1
2,2,PB207,2KP22170,29.05.14,GT_AMAR_0204,10.00954727,0.723944185,10.90985189,0.682703197,Forest,2,2K,V335,1
2,1,PB301,2KP22258,01.06.14,GT_AMAR_0205,12.74630609,0.758487337,13.28857454,0.642518644,Urban,1,3K+,S90,1
2,1,PB301,2KP22258,01.06.14,GT_AMAR_0206,13.99981164,0.711469595,13.28857454,0.642518644,Urban,1,3K+,S90,1
2,1,PB301,2KP22258,01.06.14,GT_AMAR_0207,14.45786797,0.753293747,13.28857454,0.642518644,Urban,1,3K+,S90,1
2,2,PB301,2KP22258,01.06.14,GT_AMAR_0208,12.93465973,0.578237065,13.28857454,0.642518644,Urban,1,3K+,S90,1
2,2,PB301,2KP22258,01.06.14,GT_AMAR_0209,12.99448235,0.483829623,13.28857454,0.642518644,Urban,1,3K+,S90,1
2,2,PB301,2KP22258,01.06.14,GT_AMAR_0210,12.59831949,0.569794498,13.28857454,0.642518644,Urban,1,3K+,S90,1
