ID,Date,nest,habitat,fledging_survival,sex,age,age2,cross_fostered,birthnest,rearnest,brightness,chroma,ok
2KS91863,23/05/2014,S66,Urban,1,1,2K,2K,0,,,12.40542975,0.393590773,1
2KS91864,23/05/2014,S59,Urban,1,2,2K,2K,0,,,13.00335244,0.344437226,1
2KS92210,23/05/2014,S78,Urban,1,2,3K+,3K+,0,,,15.65818686,0.443690708,1
2KP22113,24/05/2014,V3,Forest,1,2,3K+,3K+,0,,,11.35327569,0.626846136,1
2KS91827,15/05/2014,S11,Urban,1,1,3K+,3K+,0,,,12.58931148,0.365163475,1
2KP22114,24/05/2014,V198,Forest,1,2,3K+,2K,0,,,12.63350397,0.639566953,1
2KP22115,24/05/2014,V15,Forest,1,1,2K,2K,0,,,11.30719925,0.491658842,1
2KP22116,24/05/2014,V313,Forest,1,2,2K,2K,0,,,11.38327526,0.582082895,1
2KR97409,24/05/2014,V302,Forest,1,2,3K+,3K+,0,,,11.74539066,0.546840223,1
2KS26036,24/05/2014,V302,Forest,1,1,3K+,2K,0,,,12.59754486,0.561773181,1
2KP22117,24/05/2014,V394,Forest,1,2,2K,2K,0,,,10.17688184,0.568793143,1
2KP22258,01/06/2014,S90,Urban,1,1,3K+,3K+,0,,,13.36559832,0.673914008,1
2KS91831,16/05/2014,R10,Urban,1,1,3K+,3K+,0,,,19.03360733,0.593059468,1
2KS91899,25/05/2014,RS17,Urban,1,1,3K+,3K+,0,,,15.25162289,0.503739905,1
2KS91865,23/05/2014,S59,Urban,1,1,3K+,3K+,0,,,12.54314295,0.317353898,1
2KS91844,22/05/2014,K1,Urban,1,2,3K+,2K,0,,,14.05382754,0.514252822,1
2KS91828,15/05/2014,R10,Urban,1,2,2K,2K,0,,,9.424648073,0.585298465,1
2KS91832,17/05/2014,S11,Urban,1,2,3K+,3K+,0,,,14.07895628,0.582715144,1
