measure,pack,id,samp_date,spectrum,meas date,feather_num,YB,YH,YC,id2,rep,ok,habitat,area,sex,age
2,2,PB210,29.05.14,GT_AMAR_0196,28.03.21,4,10.39442963,493,0.669325158,PB210_2,1,1,Forest,Malmo,1,2K
2,2,PB210,29.05.14,GT_AMAR_0197,28.03.21,4,8.553841749,493,0.587473071,PB210_2,1,1,Forest,Malmo,1,2K
2,2,PB210,29.05.14,GT_AMAR_0198,28.03.21,4,9.023616925,493,0.680079266,PB210_2,1,1,Forest,Malmo,1,2K
2,1,PB207,29.05.14,GT_AMAR_0199,28.03.21,4,11.97582899,498,0.658794728,PB207_2,1,1,Forest,Malmo,2,2K
2,1,PB207,29.05.14,GT_AMAR_0200,28.03.21,4,9.67991152,493,0.70014513,PB207_2,1,1,Forest,Malmo,2,2K
2,1,PB207,29.05.14,GT_AMAR_0201,28.03.21,4,10.93661904,498,0.70358286,PB207_2,1,1,Forest,Malmo,2,2K
2,2,PB207,29.05.14,GT_AMAR_0202,28.03.21,4,11.63660133,498,0.651206204,PB207_2,1,1,Forest,Malmo,2,2K
2,2,PB207,29.05.14,GT_AMAR_0203,28.03.21,4,11.22060318,498,0.658546075,PB207_2,1,1,Forest,Malmo,2,2K
2,2,PB207,29.05.14,GT_AMAR_0204,28.03.21,4,10.00954727,493,0.723944185,PB207_2,1,1,Forest,Malmo,2,2K
2,1,PB301,01.06.14,GT_AMAR_0205,28.03.21,4,12.74630609,493,0.758487337,PB301_2,1,1,Urban,Malmo,1,3K+
