id,samp_date,spectrum,YC,YB,birthnest,rearnest,habitat_origin,habitat_rearing,cross_fostered,sex
BC244,11.6.13,COL_AM_POLLOS_0159,0.473930878,7.00046682,P138,V374,Urban,Forest,1,1
BC244,11.6.13,COL_AM_POLLOS_0160,0.418065472,9.741609342,P138,V374,Urban,Forest,1,1
BC244,11.6.13,COL_AM_POLLOS_0161,0.431969188,7.792714431,P138,V374,Urban,Forest,1,1
BC244,11.6.13,COL_AM_POLLOS_0162,0.382233835,10.01336798,P138,V374,Urban,Forest,1,1
BC245,11.6.13,COL_AM_POLLOS_0163,0.313799964,10.66267464,V374,V374,Forest,Forest,0,2
BC245,11.6.13,COL_AM_POLLOS_0164,0.407960475,10.09588665,V374,V374,Forest,Forest,0,2
BC245,11.6.13,COL_AM_POLLOS_0165,0.354049738,11.70626052,V374,V374,Forest,Forest,0,2
BC245,11.6.13,COL_AM_POLLOS_0166,0.344618797,10.9752933,V374,V374,Forest,Forest,0,2
BC245,11.6.13,COL_AM_POLLOS_0167,0.378157164,8.980861446,V374,V374,Forest,Forest,0,2
BC245,11.6.13,COL_AM_POLLOS_0168,0.28345641,10.28566061,V374,V374,Forest,Forest,0,2
BC247,11.6.13,COL_AM_POLLOS_0169,0.335867211,10.66352434,V374,V374,Forest,Forest,0,1
BC247,11.6.13,COL_AM_POLLOS_0170,0.319831863,9.840687599,V374,V374,Forest,Forest,0,1
BC247,11.6.13,COL_AM_POLLOS_0171,0.386911834,11.90146669,V374,V374,Forest,Forest,0,1
BC247,11.6.13,COL_AM_POLLOS_0172,0.295460304,10.85411379,V374,V374,Forest,Forest,0,1
BC247,11.6.13,COL_AM_POLLOS_0173,0.26960095,11.52408897,V374,V374,Forest,Forest,0,1
BC247,11.6.13,COL_AM_POLLOS_0174,0.330944568,11.47357704,V374,V374,Forest,Forest,0,1
BC249,11.6.13,COL_AM_POLLOS_0175,0.37483236,8.109112171,P138,V374,Urban,Forest,1,2
BC249,11.6.13,COL_AM_POLLOS_0176,0.360811549,9.674076891,P138,V374,Urban,Forest,1,2
BC249,11.6.13,COL_AM_POLLOS_0177,0.375146934,8.057157873,P138,V374,Urban,Forest,1,2
BC249,11.6.13,COL_AM_POLLOS_0178,0.369005039,7.720678505,P138,V374,Urban,Forest,1,2
BC249,11.6.13,COL_AM_POLLOS_0179,0.223447571,9.467806216,P138,V374,Urban,Forest,1,2
BC249,11.6.13,COL_AM_POLLOS_0180,0.327002778,8.1749593,P138,V374,Urban,Forest,1,2
BC263,11.6.13,COL_AM_POLLOS_0181,0.318840862,8.013655202,P31,V135,Urban,Forest,1,2
BC263,11.6.13,COL_AM_POLLOS_0182,0.391388272,9.978298661,P31,V135,Urban,Forest,1,2
BC263,11.6.13,COL_AM_POLLOS_0183,0.316869551,8.096747755,P31,V135,Urban,Forest,1,2
BC263,11.6.13,COL_AM_POLLOS_0184,0.287913504,7.419673872,P31,V135,Urban,Forest,1,2
BC263,11.6.13,COL_AM_POLLOS_0185,0.348891338,6.699133663,P31,V135,Urban,Forest,1,2
BC263,11.6.13,COL_AM_POLLOS_0186,0.414944613,8.442377344,P31,V135,Urban,Forest,1,2
BC264,11.6.13,COL_AM_POLLOS_0187,0.373069194,9.194449913,V135,V135,Forest,Forest,0,2
BC264,11.6.13,COL_AM_POLLOS_0188,0.383502556,10.50835894,V135,V135,Forest,Forest,0,2
BC264,11.6.13,COL_AM_POLLOS_0189,0.404264217,9.394626012,V135,V135,Forest,Forest,0,2
BC264,11.6.13,COL_AM_POLLOS_0190,0.305141442,9.92934548,V135,V135,Forest,Forest,0,2
BC264,11.6.13,COL_AM_POLLOS_0191,0.319600467,9.218436997,V135,V135,Forest,Forest,0,2
BC264,11.6.13,COL_AM_POLLOS_0192,0.303407531,9.156090553,V135,V135,Forest,Forest,0,2
BC265,11.6.13,COL_AM_POLLOS_0193,0.421705357,8.607271546,P31,V135,Urban,Forest,1,1
BC265,11.6.13,COL_AM_POLLOS_0194,0.363214175,8.307003588,P31,V135,Urban,Forest,1,1
BC265,11.6.13,COL_AM_POLLOS_0195,0.427776643,7.807060433,P31,V135,Urban,Forest,1,1
BC265,11.6.13,COL_AM_POLLOS_0196,0.317142722,8.339636308,P31,V135,Urban,Forest,1,1
BC265,11.6.13,COL_AM_POLLOS_0197,0.369142387,7.475653766,P31,V135,Urban,Forest,1,1
BC265,11.6.13,COL_AM_POLLOS_0198,0.347322009,9.633786355,P31,V135,Urban,Forest,1,1
BC266,11.6.13,COL_AM_POLLOS_0199,0.422187795,7.901585736,V135,V135,Forest,Forest,0,2
BC266,11.6.13,COL_AM_POLLOS_0200,0.40664392,9.574269736,V135,V135,Forest,Forest,0,2
BC266,11.6.13,COL_AM_POLLOS_0201,0.450645037,7.888201348,V135,V135,Forest,Forest,0,2
BC266,11.6.13,COL_AM_POLLOS_0202,0.37106114,8.987733157,V135,V135,Forest,Forest,0,2
BC266,11.6.13,COL_AM_POLLOS_0203,0.444542733,9.124055405,V135,V135,Forest,Forest,0,2
