id,samp_date,spectrum,YC,YB,habitat,area,sex,age
2A211169,24.05.14,GT_AMAR_1329,0.75962565,17.68791169,Forest,Madrid,1,1yr
2A211169,24.05.14,GT_AMAR_1330,0.771004417,17.46859086,Forest,Madrid,1,1yr
2A211169,24.05.14,GT_AMAR_1331,0.718209989,18.33945646,Forest,Madrid,1,1yr
2A211169,24.05.14,GT_AMAR_1332,0.622354981,17.04511313,Forest,Madrid,1,1yr
2A211169,24.05.14,GT_AMAR_1393,0.746952401,15.44709327,Forest,Madrid,1,1yr
2A211169,24.05.14,GT_AMAR_1394,0.757860859,14.889181,Forest,Madrid,1,1yr
2A211169,24.05.14,GT_AMAR_1395,0.625940728,16.30710984,Forest,Madrid,1,1yr
2A211169,24.05.14,GT_AMAR_1396,0.47983841,17.12261733,Forest,Madrid,1,1yr
2A211169,24.05.14,GT_AMAR_1397,0.658332162,17.58056469,Forest,Madrid,1,1yr
2A211169,24.05.14,GT_AMAR_1398,0.748775081,19.87841122,Forest,Madrid,1,1yr
2A211188,30.05.14,GT_AMAR_1159,0.472823753,14.07557705,Forest,Madrid,1,1yr
2A211188,30.05.14,GT_AMAR_1160,0.44020618,13.33640499,Forest,Madrid,1,1yr
2A211188,30.05.14,GT_AMAR_1161,0.474598371,14.55173968,Forest,Madrid,1,1yr
2A211188,30.05.14,GT_AMAR_1162,0.628307778,15.05023417,Forest,Madrid,1,1yr
2A211188,30.05.14,GT_AMAR_1163,0.511946927,13.73283312,Forest,Madrid,1,1yr
2A211188,30.05.14,GT_AMAR_1164,0.64867405,14.91932687,Forest,Madrid,1,1yr
2A211189,30.05.14,GT_AMAR_1333,0.540738995,14.54369703,Forest,Madrid,2,1yr
2A211189,30.05.14,GT_AMAR_1334,0.489938144,16.11204485,Forest,Madrid,2,1yr
2A211189,30.05.14,GT_AMAR_1335,0.511824072,14.88661139,Forest,Madrid,2,1yr
2A211189,30.05.14,GT_AMAR_1336,0.500614754,12.73532764,Forest,Madrid,2,1yr
2A211189,30.05.14,GT_AMAR_1337,0.528626256,14.32731193,Forest,Madrid,2,1yr
2A211189,30.05.14,GT_AMAR_1338,0.512144191,15.19008939,Forest,Madrid,2,1yr
2A211189,30.05.14,GT_AMAR_1399,0.596952243,15.03268974,Forest,Madrid,2,1yr
2A211189,30.05.14,GT_AMAR_1400,0.607851165,15.69123925,Forest,Madrid,2,1yr
2A211189,30.05.14,GT_AMAR_1401,0.693343314,14.78776055,Forest,Madrid,2,1yr
2A211189,30.05.14,GT_AMAR_1402,0.651139303,13.51098742,Forest,Madrid,2,1yr
2A211189,30.05.14,GT_AMAR_1403,0.535089884,13.87230235,Forest,Madrid,2,1yr
2A211189,30.05.14,GT_AMAR_1404,0.635780107,14.92228681,Forest,Madrid,2,1yr
2A211194,30.05.14,GT_AMAR_1321,0.920121096,14.61483091,Forest,Madrid,1,1yr
2A211194,30.05.14,GT_AMAR_1322,0.866265746,13.52656314,Forest,Madrid,1,1yr
2A211194,30.05.14,GT_AMAR_1323,0.893943004,14.51460824,Forest,Madrid,1,1yr
2A211194,30.05.14,GT_AMAR_1324,0.836234801,15.68501606,Forest,Madrid,1,1yr
2A211194,30.05.14,GT_AMAR_1325,0.765423082,14.1031296,Forest,Madrid,1,1yr
2A211194,30.05.14,GT_AMAR_1326,0.785972576,14.11376662,Forest,Madrid,1,1yr
2A256634,10.05.14,GT_AMAR_1177,0.788458482,16.63915369,Forest,Madrid,1,2yr+
2A256634,10.05.14,GT_AMAR_1178,0.831467636,16.39078298,Forest,Madrid,1,2yr+
2A256634,10.05.14,GT_AMAR_1179,0.833822052,16.47551439,Forest,Madrid,1,2yr+
2A256634,10.05.14,GT_AMAR_1180,0.621191217,17.29987278,Forest,Madrid,1,2yr+
2A256634,10.05.14,GT_AMAR_1181,0.668134546,15.09531217,Forest,Madrid,1,2yr+
2A256634,10.05.14,GT_AMAR_1182,0.636751398,14.95031153,Forest,Madrid,1,2yr+
2A368605,07.06.14,GT_AMAR_1165,0.773679571,13.85203283,Forest,Madrid,2,1yr
2A368605,07.06.14,GT_AMAR_1166,0.762924141,14.92442687,Forest,Madrid,2,1yr
2A368605,07.06.14,GT_AMAR_1167,0.753572904,14.52191985,Forest,Madrid,2,1yr
2A368605,07.06.14,GT_AMAR_1168,0.646339162,14.23334271,Forest,Madrid,2,1yr
2A368605,07.06.14,GT_AMAR_1169,0.688915214,11.97994656,Forest,Madrid,2,1yr
2A368605,07.06.14,GT_AMAR_1170,0.605147505,12.4340753,Forest,Madrid,2,1yr
2A369175,08.03.14,GT_AMAR_1243,0.55210499,17.12334326,Urban,Madrid,1,2yr+
2A369175,08.03.14,GT_AMAR_1244,0.420228873,17.68767571,Urban,Madrid,1,2yr+
2A369175,08.03.14,GT_AMAR_1245,0.447302351,16.63727678,Urban,Madrid,1,2yr+
2A369175,08.03.14,GT_AMAR_1246,0.423297272,16.58487365,Urban,Madrid,1,2yr+
2A369175,08.03.14,GT_AMAR_1247,0.513573971,18.21741975,Urban,Madrid,1,2yr+
2A369175,08.03.14,GT_AMAR_1248,0.548968804,16.87771,Urban,Madrid,1,2yr+
2A395620,10.05.14,GT_AMAR_1345,0.603005345,13.67784049,Forest,Madrid,1,1yr
2A395620,10.05.14,GT_AMAR_1346,0.762489007,13.88667379,Forest,Madrid,1,1yr
2A395620,10.05.14,GT_AMAR_1347,0.559359638,12.8659558,Forest,Madrid,1,1yr
2A395620,10.05.14,GT_AMAR_1348,0.657839722,12.1678343,Forest,Madrid,1,1yr
2A395620,10.05.14,GT_AMAR_1349,0.709952904,13.54319203,Forest,Madrid,1,1yr
2A395620,10.05.14,GT_AMAR_1350,0.694895331,14.928935,Forest,Madrid,1,1yr
2A395634,10.05.14,GT_AMAR_1357,0.694645175,14.68629851,Forest,Madrid,2,1yr
2A395634,10.05.14,GT_AMAR_1358,0.750055844,12.88565255,Forest,Madrid,2,1yr
2A395634,10.05.14,GT_AMAR_1359,0.753180544,15.45576551,Forest,Madrid,2,1yr
2A395634,10.05.14,GT_AMAR_1360,0.779479464,15.87538067,Forest,Madrid,2,1yr
2A395634,10.05.14,GT_AMAR_1361,0.713891801,16.4405032,Forest,Madrid,2,1yr
2A395634,10.05.14,GT_AMAR_1362,0.687339428,15.36908075,Forest,Madrid,2,1yr
2A395635,10.05.14,GT_AMAR_1351,0.732020774,17.12500969,Forest,Madrid,1,1yr
2A395635,10.05.14,GT_AMAR_1352,0.658431136,15.23353183,Forest,Madrid,1,1yr
2A395635,10.05.14,GT_AMAR_1353,0.576601498,17.22238571,Forest,Madrid,1,1yr
2A395635,10.05.14,GT_AMAR_1354,0.612684315,16.75641126,Forest,Madrid,1,1yr
2A395635,10.05.14,GT_AMAR_1355,0.69554309,18.00807945,Forest,Madrid,1,1yr
2A395635,10.05.14,GT_AMAR_1356,0.702054082,17.85524246,Forest,Madrid,1,1yr
2A395636,27.04.14,GT_AMAR_1189,0.542814486,10.21609539,Forest,Madrid,1,2yr+
2A395636,27.04.14,GT_AMAR_1190,0.593355565,12.40444801,Forest,Madrid,1,2yr+
2A395636,27.04.14,GT_AMAR_1191,0.486032501,9.464970898,Forest,Madrid,1,2yr+
