ID,Date,nest,habitat,fledging_survival,sex,age,age2,cross_fostered,birthnest,rearnest,brightness,chroma
2KP22173,29/05/2014,V395,Forest,1,2,3K+,2K,0,,,12.54789785,0.659755496
2KP22174,29/05/2014,V399,Forest,1,2,2K,2K,0,,,13.27019096,0.582091588
2KS70836,17/05/2014,P157,Urban,1,1,3K+,3K+,0,,,11.66224164,0.500378611
2KS91834,17/05/2014,P157,Urban,1,2,3K+,3K+,0,,,12.32565062,0.52537924
2KS34222,18/05/2014,P169,Urban,1,2,3K+,2K,0,,,12.013956,0.47531237
2KS91226,18/05/2014,P169,Urban,1,1,2K,2K,0,,,12.5049949,0.441010536
2KS91835,18/05/2014,P107,Urban,1,2,2K,2K,0,,,13.50779707,0.544975108
2KP22107,19/05/2014,V304,Forest,1,1,3K+,3K+,0,,,11.93225097,0.479560091
2KR97319,31/05/2014,V124,Forest,1,1,3K+,3K+,0,,,11.37875852,0.707345009
2KR97334,31/05/2014,V177,Forest,1,1,3K+,2K,0,,,11.33917728,0.678773615
2KS91261,01/06/2014,S124,Urban,1,1,2K,2K,0,,,12.39309357,0.467637525
2KS92392,01/06/2014,S124,Urban,1,2,2K,2K,0,,,8.453743113,0.656325123
2KS92393,01/06/2014,P129,Urban,1,1,3K+,3K+,0,,,14.10476156,0.756836232
2KP22109,19/05/2014,V355,Forest,1,2,3K+,2K,0,,,16.07642789,0.620137632
2KS91836,20/05/2014,S1,Urban,1,2,2K,2K,0,,,12.79478976,0.33539615
2KS91840,21/05/2014,P42,Urban,1,2,2K,2K,0,,,17.68279709,0.607244855
2KR97093,21/05/2014,V128,Forest,1,1,3K+,3K+,0,,,11.14693848,0.621321205
2KR97491,21/05/2014,V300,Forest,1,2,3K+,2K,0,,,12.88012476,0.468988525
2KS26381,21/05/2014,V65,Forest,1,1,2K,2K,0,,,14.78024732,0.539195378
2KP22111,22/05/2014,V22,Forest,1,2,3K+,3K+,0,,,15.08552421,0.508140001
2KP22112,22/05/2014,V198,Forest,1,1,3K+,3K+,0,,,13.34749744,0.483041562
2KR97230,22/05/2014,V142,Forest,1,1,3K+,3K+,0,,,15.32389224,0.558539215
2KS91843,22/05/2014,K1,Urban,1,1,3K+,3K+,0,,,13.53394762,0.538980543
2KS91303,22/05/2014,S27,Urban,1,1,3K+,3K+,0,,,15.42614021,0.481677039
2KN81898,23/05/2014,P141,Urban,1,2,3K+,3K+,0,,,13.85753668,0.479665602
2KS91856,23/05/2014,P141,Urban,1,1,3K+,3K+,0,,,11.49256916,0.54648016
2KS34248,23/05/2014,P32,Urban,1,2,3K+,3K+,0,,,11.44771093,0.517780212
2KS91826,15/05/2014,S14,Urban,1,1,3K+,2K,0,,,12.75609918,0.558850666
2KS91863,23/05/2014,S66,Urban,1,1,2K,2K,0,,,12.40542975,0.393590773
2KS91864,23/05/2014,S59,Urban,1,2,2K,2K,0,,,13.00335244,0.344437226
2KS92210,23/05/2014,S78,Urban,1,2,3K+,3K+,0,,,15.65818686,0.443690708
2KP22113,24/05/2014,V3,Forest,1,2,3K+,3K+,0,,,11.35327569,0.626846136
2KS91827,15/05/2014,S11,Urban,1,1,3K+,3K+,0,,,12.58931148,0.365163475
2KP22114,24/05/2014,V198,Forest,1,2,3K+,2K,0,,,12.63350397,0.639566953
2KP22115,24/05/2014,V15,Forest,1,1,2K,2K,0,,,11.30719925,0.491658842
2KP22116,24/05/2014,V313,Forest,1,2,2K,2K,0,,,11.38327526,0.582082895
2KR97409,24/05/2014,V302,Forest,1,2,3K+,3K+,0,,,11.74539066,0.546840223
2KS26036,24/05/2014,V302,Forest,1,1,3K+,2K,0,,,12.59754486,0.561773181
2KP22117,24/05/2014,V394,Forest,1,2,2K,2K,0,,,10.17688184,0.568793143
2KP22258,01/06/2014,S90,Urban,1,1,3K+,3K+,0,,,13.36559832,0.673914008
2KS91831,16/05/2014,R10,Urban,1,1,3K+,3K+,0,,,19.03360733,0.593059468
2KS91899,25/05/2014,RS17,Urban,1,1,3K+,3K+,0,,,15.25162289,0.503739905
2KS91865,23/05/2014,S59,Urban,1,1,3K+,3K+,0,,,12.54314295,0.317353898
2KS91844,22/05/2014,K1,Urban,1,2,3K+,2K,0,,,14.05382754,0.514252822
2KS91828,15/05/2014,R10,Urban,1,2,2K,2K,0,,,9.424648073,0.585298465
2KS91832,17/05/2014,S11,Urban,1,2,3K+,3K+,0,,,14.07895628,0.582715144
